12:23:41.842 [main] INFO  com.business.Utilities.Base - chrome-headless launched
12:23:51.424 [main] INFO  com.business.Utilities.Base - browser closed
12:24:28.792 [main] INFO  com.business.Utilities.Base - chrome launched
12:24:38.216 [main] INFO  com.business.Utilities.Base - browser closed
12:38:39.507 [main] INFO  com.business.Utilities.Base - chrome launched
12:38:43.320 [main] INFO  com.business.Utilities.Base - browser closed
12:57:00.479 [main] INFO  com.business.Utilities.Base - chrome launched
12:57:09.187 [main] INFO  com.business.Utilities.Base - browser closed
14:03:11.267 [main] INFO  com.business.Utilities.Base - chrome launched
14:03:20.691 [main] INFO  com.business.Utilities.Base - browser closed
14:04:24.581 [main] INFO  com.business.Utilities.Base - chrome launched
14:04:34.056 [main] INFO  com.business.Utilities.Base - browser closed
14:51:51.890 [main] INFO  com.business.Utilities.Base - chrome launched
14:52:02.020 [main] INFO  com.business.Utilities.Base - browser closed
14:55:12.407 [main] INFO  com.business.Utilities.Base - chrome launched
14:55:12.674 [main] INFO  com.business.Tests.Actions_mouse - scrool down with alert class
14:55:19.753 [main] INFO  com.business.Tests.Actions_mouse - scrool up with alert class
14:55:22.689 [main] INFO  com.business.Utilities.Base - browser closed
15:00:47.065 [main] INFO  com.business.Utilities.Base - chrome launched
15:00:48.035 [main] INFO  com.business.Tests.Actions_mouse - navigated to website
15:00:53.090 [main] INFO  com.business.Tests.Actions_mouse - switching to the frame
15:00:55.409 [main] INFO  com.business.Tests.Actions_mouse - dragging the element and dropping to drop field
15:00:55.466 [main] INFO  com.business.Tests.Actions_mouse - waiting for confirmation text to be visible
15:00:55.491 [main] INFO  com.business.Tests.Actions_mouse - element dropped 
15:00:55.644 [main] INFO  com.business.Utilities.Base - browser closed
15:01:15.904 [main] INFO  com.business.Utilities.Base - chrome launched
15:01:16.117 [main] INFO  com.business.Tests.Actions_mouse - navigating the amazon.com
15:01:18.716 [main] INFO  com.business.Tests.Actions_mouse - entering text in Uppercase
15:01:21.570 [main] INFO  com.business.Tests.Actions_mouse - Verifying text added in Uppercase
15:01:21.594 [main] INFO  com.business.Tests.Actions_mouse - text passed in Uppercase
15:01:21.900 [main] INFO  com.business.Utilities.Base - browser closed
15:02:44.373 [main] INFO  com.business.Utilities.Base - chrome launched
15:02:44.645 [main] INFO  com.business.Tests.Actions_mouse - navigating the amazon.com
15:02:47.686 [main] INFO  com.business.Tests.Actions_mouse - entering text in Uppercase
15:02:49.839 [main] INFO  com.business.Utilities.Base - browser closed
15:03:41.482 [main] INFO  com.business.Utilities.Base - chrome launched
15:03:41.801 [main] INFO  com.business.Tests.Actions_mouse - navigating the amazon.com
15:03:45.543 [main] INFO  com.business.Tests.Actions_mouse - entering text in Uppercase
